 Num Of Points,  x obs meter,y obs meter, z obs meter, obs type
473,-1250,-776,-100,3628
473,-1250,-722,-100,3628
473,-1240,-628,-100,754
473,-1240,-598,-100,754
473,-1236,-1146,-100,3627
473,-1236,-1116,-100,3627
473,-1236,-672,-100,3626
473,-1236,-642,-100,3626
473,-1234,-442,-100,83
473,-1234,-412,-100,83
473,-1210,-628,-100,754
473,-1210,-598,-100,754
473,-1206,-1146,-100,3627
473,-1206,-1116,-100,3627
473,-1206,-672,-100,3626
473,-1206,-642,-100,3626
473,-1204,-442,-100,83
473,-1204,-412,-100,83
473,-1196,-776,-100,3628
473,-1196,-722,-100,3628
473,-1168,-1162,-100,98
473,-1168,-1102,-100,98
473,-1158,-862,-100,31
473,-1158,-790,-100,31
473,-1152,-934,-100,36
473,-1152,-688,-100,753
473,-1152,-656,-100,753
473,-1144,-388,-100,81
473,-1140,-740,-100,80
473,-1138,-960,-100,36
473,-1136,-580,-100,79
473,-1136,-564,-100,79
473,-1134,-584,-100,79
473,-1134,-560,-100,79
473,-1132,-970,-100,36
473,-1130,-972,-100,36
473,-1130,-588,-100,79
473,-1128,-970,-100,36
473,-1126,-590,-100,79
473,-1126,-550,-100,79
473,-1124,-964,-100,36
473,-1124,-422,-100,81
473,-1122,-688,-100,753
473,-1122,-656,-100,753
473,-1120,-776,-100,80
473,-1118,-776,-100,80
473,-1116,-866,-100,31
473,-1114,-542,-100,79
473,-1110,-938,-100,36
473,-1110,-540,-100,79
473,-1108,-1162,-100,98
473,-1108,-1102,-100,98
473,-1108,-934,-100,36
473,-1104,-1044,-100,123
473,-1104,-1018,-100,123
473,-1104,-590,-100,79
473,-1104,-538,-100,79
473,-1104,-386,-100,81
473,-1098,-740,-100,80
473,-1096,-536,-100,79
473,-1090,-664,-100,82
473,-1090,-632,-100,82
473,-1086,-866,-100,31
473,-1086,-790,-100,31
473,-1082,-1162,-100,163
473,-1082,-1102,-100,163
473,-1082,-780,-100,784
473,-1082,-720,-100,784
473,-1080,-534,-100,79
473,-1072,-1044,-100,123
473,-1072,-1018,-100,123
473,-1066,-534,-100,79
473,-1064,-664,-100,82
473,-1064,-632,-100,82
473,-1062,-386,-100,81
473,-1060,-580,-100,79
473,-1058,-536,-100,79
473,-1052,-578,-100,79
473,-1052,-538,-100,79
473,-1048,-576,-100,79
473,-1048,-540,-100,79
473,-1042,-544,-100,79
